"date","station","temperature","precipitation"
2011-01-01,"Central Park",46.49,0
2011-01-02,"Central Park",43.519999999999996,0.0117
2011-01-03,"Central Park",32,0
2011-01-04,"Central Park",34.97,0
2011-01-05,"Central Park",33.98,0
2011-01-06,"Central Park",29.57,0
2011-01-07,"Central Park",29.03,0.1872
2011-01-08,"Central Park",26.96,0
2011-01-09,"Central Park",29.03,0
2011-01-10,"Central Park",29.57,0
2011-01-11,"Central Park",26.96,0.24960000000000002
2011-01-12,"Central Park",27.5,0.6045
2011-01-13,"Central Park",23.99,0
2011-01-14,"Central Park",23.99,0
2011-01-15,"Central Park",30.47,0
2011-01-16,"Central Park",31.55,0
2011-01-17,"Central Park",23,0
2011-01-18,"Central Park",32.54,1.2596999999999998
2011-01-19,"Central Park",38.03,0.0702
2011-01-20,"Central Park",32.54,0
2011-01-21,"Central Park",24.98,0.4056
2011-01-22,"Central Park",18.5,0
2011-01-23,"Central Park",17.509999999999998,0
2011-01-24,"Central Park",15.079999999999998,0
2011-01-25,"Central Park",30.56,0.0507
2011-01-26,"Central Park",32.54,1.2792
2011-01-27,"Central Park",32.45,0.7644000000000001
2011-01-28,"Central Park",31.01,0
2011-01-29,"Central Park",32.45,0.0117
2011-01-30,"Central Park",32.99,0
2011-01-31,"Central Park",26.42,0
2011-02-01,"Central Park",27.5,0.1677
2011-02-02,"Central Park",32.45,0.6942
2011-02-03,"Central Park",29.03,0
2011-02-04,"Central Park",28.49,0
2011-02-05,"Central Park",36.95,0.2067
2011-02-06,"Central Park",41,0
2011-02-07,"Central Park",40.46,0.12869999999999998
2011-02-08,"Central Park",29.48,0.10919999999999999
2011-02-09,"Central Park",22.01,0
2011-02-10,"Central Park",25.43,0
2011-02-11,"Central Park",28.04,0
2011-02-12,"Central Park",34.97,0
2011-02-13,"Central Park",37.04,0
2011-02-14,"Central Park",47.48,0
2011-02-15,"Central Park",31.01,0
2011-02-16,"Central Park",37.04,0
2011-02-17,"Central Park",54.5,0
2011-02-18,"Central Park",56.48,0
2011-02-19,"Central Park",38.48,0
2011-02-20,"Central Park",30.47,0
2011-02-21,"Central Park",30.56,0.3354
2011-02-22,"Central Park",25.97,0
2011-02-23,"Central Park",30.47,0
2011-02-24,"Central Park",37.04,0.0507
2011-02-25,"Central Park",45.5,1.3065
2011-02-26,"Central Park",36.95,0
2011-02-27,"Central Park",43.97,0
2011-02-28,"Central Park",50,0.43679999999999997
2011-03-01,"Central Park",39.56,0
2011-03-02,"Central Park",39.02,0
2011-03-03,"Central Park",26.509999999999998,0
2011-03-04,"Central Park",33.98,0
2011-03-05,"Central Park",50.99,0.0117
2011-03-06,"Central Park",51.98,2.0006999999999997
2011-03-07,"Central Park",43.519999999999996,0.078
2011-03-08,"Central Park",38.48,0
2011-03-09,"Central Park",39.47,0
2011-03-10,"Central Park",45.5,1.0608
2011-03-11,"Central Park",47.48,0.9009
2011-03-12,"Central Park",46.94,0
2011-03-13,"Central Park",47.03,0
2011-03-14,"Central Park",41,0
2011-03-15,"Central Park",40.46,0
2011-03-16,"Central Park",47.48,0.5538
2011-03-17,"Central Park",54.5,0
2011-03-18,"Central Park",64.04,0
2011-03-19,"Central Park",48.47,0
2011-03-20,"Central Park",42.53,0
2011-03-21,"Central Park",40.46,0.43679999999999997
2011-03-22,"Central Park",44.96,0
2011-03-23,"Central Park",35.96,0.8619
2011-03-24,"Central Park",37.04,0.08969999999999999
2011-03-25,"Central Park",35.06,0
2011-03-26,"Central Park",32.99,0
2011-03-27,"Central Park",36.5,0
2011-03-28,"Central Park",35.51,0
2011-03-29,"Central Park",39.92,0
2011-03-30,"Central Park",44.510000000000005,0.0117
2011-03-31,"Central Park",40.010000000000005,0.12869999999999998
2011-04-01,"Central Park",39.56,0.17939999999999998
2011-04-02,"Central Park",46.49,0
2011-04-03,"Central Park",50,0
2011-04-04,"Central Park",52.97,0.058499999999999996
2011-04-05,"Central Park",53.96,0.1599
2011-04-06,"Central Park",46.49,0.08969999999999999
2011-04-07,"Central Park",47.03,0.0195
2011-04-08,"Central Park",45.5,0
2011-04-09,"Central Park",48.92,0
2011-04-10,"Central Park",50.99,0
2011-04-11,"Central Park",65.48,0
2011-04-12,"Central Park",58.459999999999994,1.0803
2011-04-13,"Central Park",46.49,0.37829999999999997
2011-04-14,"Central Park",58.55,0
2011-04-15,"Central Park",48.47,0
2011-04-16,"Central Park",48.02,1.4351999999999998
2011-04-17,"Central Park",55.49,0.3276
2011-04-18,"Central Park",54.95,0
2011-04-19,"Central Park",50,0.031200000000000002
2011-04-20,"Central Park",54.95,0
2011-04-21,"Central Park",52.97,0
2011-04-22,"Central Park",45.5,0
