"currently_testing","site","water_body","borough_state","neighborhood_town","latitude","longitude","last_sampled","district_council_number","x2021_lab_analysis_by"
true,"Bronx Kill, east end","Bronx Kill","Manhattan","Randalls Island",40.797291,-73.916026,2022,"8",
true,"Bronx Kill, west end","Bronx Kill","Manhattan","Randalls Island",40.801921,-73.924084,2022,"8",
false,"Bronx River, Bronx Botanical Gardens","Bronx River","Bronx","Bronx Park",40.862411,-73.874364,2015,"15",
true,"Bronx River, Hunts Point Riverside Park","Bronx River","Bronx","Hunts Point",40.8178447,-73.881072,2022,"17","Bronx River Alliance"
true,"Bronx River, Soundview Park, HP009 CSO","Bronx River","Bronx","Clason Point",40.8144,-73.8708,2022,"18","Bronx River Alliance"
true,"Bronx River, Soundview Park (mouth)","Bronx River","Bronx","Clason Point",40.8097,-73.8682,2022,"18","Bronx River Alliance"
true,"Bronx River, Starlight Park, North Dock","Bronx River","Bronx","Soundview",40.832385,-73.882821,2022,"17","Bronx River Alliance"
false,"Bronx River, Starlight Park, south of dam","Bronx River","Bronx","Soundview",40.8321416,-73.882928,2015,"17",
true,"Buttermilk Channel, Pier 101 (Governors Island)","Buttermilk Channel","Manhattan","Governors Island",40.691375,-74.012532,2022,"1","Billion Oyster Project's Williamsburg Field Station"
true,"Buttermilk Channel, Valentino Pier","Buttermilk Channel","Brooklyn","Red Hook",40.678574,-74.018372,2022,"38","Billion Oyster Project's Williamsburg Field Station"
true,"Coney Island Creek, Calvert Vaux Beach","Coney Island Creek","Brooklyn","Gravesend",40.5835405,-73.9927194,2023,"47",
false,"Coney Island Creek, Calvert Vaux Park","Coney Island Creek","Brooklyn","Gravesend",40.5844306,-73.990388,2020,"47",
true,"Coney Island Creek, Kaiser Park","Coney Island Creek","Brooklyn","Gravesend",40.5810247,-73.997941,2022,"47","Interstate Environmental Commission"
false,"Coney Island Creek, Shell Road (head of creek)","Coney Island Creek","Brooklyn","Gravesend",40.5825464,-73.974837,2019,"47",
false,"Coney Island Creek, West 21st Street","Coney Island Creek","Brooklyn","Coney Island",40.5791505,-73.98747,2019,"47",
false,"East River, Anable Basin","East River","Queens","Hunters Point",40.748051,-73.954628,2021,"26","Billion Oyster Project's Williamsburg Field Station"
true,"East River, Brooklyn Bridge Beach (Manhattan)","East River","Manhattan","Seaport",40.706887,-74.001142,2022,"1","Billion Oyster Project's Williamsburg Field Station"
true,"East River, Bushwick Inlet","East River","Brooklyn","Greenpoint",40.7252056,-73.959234,2022,"33","Billion Oyster Project's Williamsburg Field Station"
true,"East River, Bushwick Inlet Park Beach","East River","Brooklyn","Williamsburg",40.723181,-73.962509,2022,"33","Billion Oyster Project's Williamsburg Field Station"
true,"East River, Dumbo Cove","East River","Brooklyn","Dumbo",40.7044059,-73.990526,2022,"33","St. Francis College"
true,"East River, Gantry State Park","East River","Queens","Hunters Point",40.743849,-73.960111,2022,"26","Billion Oyster Project's Williamsburg Field Station"
true,"East River, Grand Ferry Park","East River","Brooklyn","Williamsburg",40.7168567,-73.967177,2022,"33","Billion Oyster Project's Williamsburg Field Station"
false,"East River, Hallets Cove","East River","Queens","Astoria",40.769516,-73.935593,2022,"26","Billion Oyster Project's Williamsburg Field Station"
false,"East River, Hammond Cove (HC)","East River","Bronx","Throgs Neck",40.81012,-73.80232,2021,"13","SUNY Maritime Marine Environmental Science lab"
