"site","date","year","month","high_tide","sample_time","bacteria","precip_wk","precip_t0","precip_t1","precip_t2","precip_t3","precip_t4","precip_t5","precip_t6","notes","quality"
"Hudson River, Pier 66",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 14:43:00.000000-0400,31,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Good"
"Hudson River, Pier 40",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 09:15:00.000000-0400,624,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 96",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 14:27:00.000000-0400,826,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 26",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 12:00:00.000000-0400,826,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"East River, Wallabout Channel ",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 08:15:00.000000-0400,876,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"Hudson River, Inwood Canoe Club",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 09:45:00.000000-0400,2841,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"Hudson River, Yonkers Paddling and Rowing Club",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 10:15:00.000000-0400,4360,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Unacceptable"
"Hudson River, West 79th Street Boat Basin",2011-10-20,2011,10,2011-10-20 02:33:00.000000-0400,2011-10-20 14:12:00.000000-0400,0,1.1400000000000001,0.01,1.12,0.01,0,0,0,0,"","Not Detected"
"Hudson River, Pier 66",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 11:17:00.000000-0400,31,0.63,0.63,0,0,0,0,0,0,"","Good"
"Hudson River, Pier 96",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 13:52:00.000000-0400,63,0.63,0.63,0,0,0,0,0,0,"","Fair"
"Hudson River, Pier 40",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 10:32:00.000000-0400,98,0.63,0.63,0,0,0,0,0,0,"","Fair"
"Hudson River, West 133rd Street/Piers Park Kayak Dock",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 13:32:00.000000-0400,265,0.63,0.63,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, West 79th Street Boat Basin",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 09:00:00.000000-0400,479,0.63,0.63,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, Inwood Canoe Club",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 12:45:00.000000-0400,669,0.63,0.63,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, Yonkers Paddling and Rowing Club",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 07:54:00.000000-0400,1464,0.63,0.63,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, JFK Marina",2011-10-27,2011,10,2011-10-27 08:51:00.000000-0400,2011-10-27 07:34:00.000000-0400,0,0.63,0.63,0,0,0,0,0,0,"","Not Detected"
"Hudson River, Pier 40",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 09:00:00.000000-0500,10,0,0,0,0,0,0,0,0,"","Good"
"Hudson River, Inwood Canoe Club",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 11:20:00.000000-0500,52,0,0,0,0,0,0,0,0,"","Fair"
"Hudson River, Pier 96",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 14:40:00.000000-0500,86,0,0,0,0,0,0,0,0,"","Fair"
"Hudson River, West 79th Street Boat Basin",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 10:00:00.000000-0500,605,0,0,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, Yonkers Paddling and Rowing Club",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 10:55:00.000000-0500,905,0,0,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 66",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 13:40:00.000000-0500,979,0,0,0,0,0,0,0,0,"","Unacceptable"
"Hudson River, JFK Marina",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 10:25:00.000000-0500,2933,0,0,0,0,0,0,0,0,"","Unacceptable"
"East River, Wallabout Channel ",2011-11-09,2011,11,2011-11-09 06:57:00.000000-0500,2011-11-09 08:15:00.000000-0500,0,0,0,0,0,0,0,0,0,"","Not Detected"
"Hudson River, West 133rd Street/Piers Park Kayak Dock",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 13:54:00.000000-0500,41,0.8,0.07,0.73,0,0,0,0,0,"","Fair"
"Hudson River, JFK Marina",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 07:30:00.000000-0500,52,0.8,0.07,0.73,0,0,0,0,0,"","Fair"
"Hudson River, Inwood Canoe Club",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 09:35:00.000000-0500,175,0.8,0.07,0.73,0,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 66",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 10:14:00.000000-0500,446,0.8,0.07,0.73,0,0,0,0,0,"","Unacceptable"
"Hudson River, West 79th Street Boat Basin",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 09:00:00.000000-0500,528,0.8,0.07,0.73,0,0,0,0,0,"","Unacceptable"
"Hudson River, Beczak Beach #1",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 07:50:00.000000-0500,1022,0.8,0.07,0.73,0,0,0,0,0,"","Unacceptable"
"Hudson River, Pier 96",2011-11-17,2011,11,2011-11-17 00:15:00.000000-0500,2011-11-17 14:17:00.000000-0500,0,0.8,0.07,0.73,0,0,0,0,0,"","Not Detected"
