site,latitude,longitude
"Bronx Kill, east end",40.797291,-73.916026
"Bronx Kill, west end",40.801921,-73.924084
"Bronx River, Bronx Botanical Gardens",40.862411,-73.874364
"Bronx River, Hunts Point Riverside Park",40.8178447,-73.881072
"Bronx River, Soundview Park, HP009 CSO",40.8144,-73.8708
"Bronx River, Soundview Park (mouth)",40.8097,-73.8682
"Bronx River, Starlight Park, North Dock",40.832385,-73.882821
"Bronx River, Starlight Park, south of dam",40.8321416,-73.882928
"Buttermilk Channel, Pier 101 (Governors Island)",40.691375,-74.012532
"Buttermilk Channel, Valentino Pier",40.678574,-74.018372
"Coney Island Creek, Calvert Vaux Beach",40.5835405,-73.9927194
"Coney Island Creek, Calvert Vaux Park",40.5844306,-73.990388
"Coney Island Creek, Kaiser Park",40.5810247,-73.997941
"Coney Island Creek, Shell Road (head of creek)",40.5825464,-73.974837
"Coney Island Creek, West 21st Street",40.5791505,-73.98747
"East River, Anable Basin",40.748051,-73.954628
"East River, Brooklyn Bridge Beach (Manhattan)",40.706887,-74.001142
"East River, Bushwick Inlet",40.7252056,-73.959234
"East River, Bushwick Inlet Park Beach",40.723181,-73.962509
"East River, Dumbo Cove",40.7044059,-73.990526
"East River, Gantry State Park",40.743849,-73.960111
"East River, Grand Ferry Park",40.7168567,-73.967177
"East River, Hallets Cove",40.769516,-73.935593
"East River, Hammond Cove (HC)",40.81012,-73.80232
"East River, Hermon A. MacNeil Park",40.793278,-73.848917
"East River, India Street",40.73157,-73.96176
"East River, Marsha P Johnson State Park",40.72191,-73.96301
"East River, North 3rd Street",40.718943,-73.965741
"East River, Pier 1 (Brooklyn Bridge Park)",40.700789,-73.996922
"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",40.699967,-73.99807
"East River, Pier 4 Beach (Brooklyn Bridge Park)",40.6968031,-73.99888
"East River, Pier 35 (+POOL), Mid-Pier",40.709865,-73.988629
"East River, Pier 35 (+POOL), End-Pier",40.709208,-73.988505
"East River, Pier 42/Jackson Street",40.7103,-73.980614
"East River, South 3rd Street/Domino Park",40.7142915,-73.968192
"East River, South 5th Street/Domino Park",40.7130241,-73.968714
"East River, South 8th St",40.710069,-73.96965
"East River, Stuyvesant Cove",40.7333646,-73.973866
"East River, SUNY Maritime Campus Entrance (IT)",40.8091363,-73.802703
"East River, SUNY Maritime Waterfront Center (MAR)",40.8048868,-73.794356
