area,Name,Id,Lat,Lon,Predictions
"Long Island Sound, north side",Rye Beach,8518091,40.9617,-73.6717,Harmonic
"Long Island Sound, north side",New Rochelle,8518490,40.8933,-73.7817,Subordinate
"Long Island Sound, north side","Throgs Neck, Fort Schuyler",8518526,40.805,-73.795,Harmonic
East River,Whitestone,8517125,40.7983,-73.8133,Subordinate
East River,"College Point, Flushing Bay",8517276,40.7833,-73.8567,Subordinate
East River,"Worlds Fair Marina, Flushing Bay",8517251,40.761,-73.8504,Harmonic
East River,Hunts Point,8518621,40.8,-73.8733,Subordinate
East River,North Brother Island,8518635,40.7983,-73.8983,Subordinate
East River,Port Morris (Stony Point),8518639,40.8017,-73.9067,Harmonic
East River,"Hell Gate, Wards Island",8517401,40.7867,-73.9217,Subordinate
East River,"Horns Hook, East 90th Street",8518668,40.7767,-73.9417,Harmonic
East River,Queensboro Bridge,8518687,40.7583,-73.9583,Harmonic
East River,"East 41st Street, New York City",8518695,40.7467,-73.9683,Subordinate
East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate
East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic
East River,"Wallabout Bay, Brooklyn Navy Yard",8517732,40.7067,-73.975,Subordinate
East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic
East River,"Harlem River, Randalls Island",8518643,40.8,-73.9283,Harmonic
"Long Island, Long Island Sound",Willets Point,8516990,40.7933,-73.7817,Harmonic
"Long Island, Long Island Sound",Kings Point,8516945,40.8103,-73.7649,Harmonic
"Long Island, Long Island Sound","Port Washington, Manhasset Bay",8516761,40.8317,-73.7033,Harmonic
"Long Island, Long Island Sound","Harry Tappen Marina, Hempstead Harbor",8516607,40.8346,-73.6524,Harmonic
"Long Island, Long Island Sound","Glen Cove, Hempstead Harbor",8516614,40.8633,-73.655,Harmonic
Oyster Bay,Oyster Bay Harbor,8516201,40.8667,-73.5167,Subordinate
Oyster Bay,Bayville Bridge,8516299,40.9033,-73.55,Harmonic
Oyster Bay,Cold Spring Harbor,8516061,40.8733,-73.47,Harmonic
Oyster Bay,Eatons Neck Point,8515786,40.9533,-73.4,Harmonic
Oyster Bay,"Lloyd Harbor, Huntington Bay",8515921,40.91,-73.4317,Harmonic
Oyster Bay,"Northport, Northport Bay",8515586,40.9,-73.3533,Harmonic
Oyster Bay,Port Jefferson Harbor entrance,8514594,40.9717,-73.0917,Subordinate
Oyster Bay,Port Jefferson,8514560,40.95,-73.0767,Harmonic
Oyster Bay,Cedar Beach,8514422,40.965,-73.0433,Harmonic
Oyster Bay,Mount Sinai Harbor,8514421,40.9633,-73.04,Subordinate
Oyster Bay,Northville,8512987,40.9817,-72.645,Harmonic
Oyster Bay,Mattituck Inlet,8512668,41.015,-72.5617,Harmonic
Oyster Bay,Hashamomuck Beach,8512053,41.095,-72.3983,Subordinate
Oyster Bay,Little Gull Island,8510884,41.2067,-72.1017,Subordinate
Oyster Bay,"Plum Gut Harbor, Plum Island",8511236,41.1717,-72.205,Harmonic
Shelter Island Sound,Orient,8511671,41.1367,-72.3067,Harmonic
Shelter Island Sound,Greenport,8511907,41.101,-72.3612,Harmonic
Shelter Island Sound,Southold,8512114,41.06,-72.4133,Subordinate
Shelter Island Sound,Noyack Bay,8511779,40.995,-72.3317,Subordinate
