currently_testing,site,water_body,borough_state,neighborhood_town,latitude,longitude,last_sampled,district_council_number,2021_lab_analysis_by:,closest_tide_area,closest_tide_Name,closest_tide_Id,closest_tide_Lat,closest_tide_Lon,closest_tide_Predictions,closest_tide_dist
TRUE,"Bronx Kill, east end",Bronx Kill,Manhattan,Randalls Island,40.797291,-73.916026,2022,8,NA,East River,Port Morris (Stony Point),8518639,40.8017,-73.9067,Harmonic,0.9255260093484052
TRUE,"Bronx Kill, west end",Bronx Kill,Manhattan,Randalls Island,40.801921,-73.924084,2022,8,NA,East River,"Harlem River, Randalls Island",8518643,40.8,-73.9283,Harmonic,0.41420016157088263
FALSE,"Bronx River, Bronx Botanical Gardens",Bronx River,Bronx,Bronx Park,40.862411,-73.874364,2015,15,NA,Hudson River,"Spuyten Duyvil Creek ent., N.Y.",8518903,40.8783,-73.925,Subordinate,4.6097319024035635
TRUE,"Bronx River, Hunts Point Riverside Park",Bronx River,Bronx,Hunts Point,40.8178447,-73.881072,2022,17,Bronx River Alliance,East River,Hunts Point,8518621,40.8,-73.8733,Subordinate,2.0892754490566845
TRUE,"Bronx River, Soundview Park, HP009 CSO",Bronx River,Bronx,Clason Point,40.8144,-73.8708,2022,18,Bronx River Alliance,East River,Hunts Point,8518621,40.8,-73.8733,Subordinate,1.6149727453554614
TRUE,"Bronx River, Soundview Park (mouth)",Bronx River,Bronx,Clason Point,40.8097,-73.8682,2022,18,Bronx River Alliance,East River,Hunts Point,8518621,40.8,-73.8733,Subordinate,1.1608698767602121
TRUE,"Bronx River, Starlight Park, North Dock",Bronx River,Bronx,Soundview,40.832385,-73.882821,2022,17,Bronx River Alliance,East River,Hunts Point,8518621,40.8,-73.8733,Subordinate,3.689106438911801
FALSE,"Bronx River, Starlight Park, south of dam",Bronx River,Bronx,Soundview,40.8321416,-73.882928,2015,17,NA,East River,Hunts Point,8518621,40.8,-73.8733,Subordinate,3.6646729531680244
TRUE,"Buttermilk Channel, Pier 101 (Governors Island)",Buttermilk Channel,Manhattan,Governors Island,40.691375,-74.012532,2022,1,Billion Oyster Project's Williamsburg Field Station,New York Harbor,NEW YORK (The Battery),8518750,40.7006,-74.0142,Harmonic,1.0353671850045252
TRUE,"Buttermilk Channel, Valentino Pier",Buttermilk Channel,Brooklyn,Red Hook,40.678574,-74.018372,2022,38,Billion Oyster Project's Williamsburg Field Station,New York Harbor,Gowanus Bay,8517921,40.665,-74.0133,Subordinate,1.5688024166429793
TRUE,"Coney Island Creek, Calvert Vaux Beach",Coney Island Creek,Brooklyn,Gravesend,40.5835405,-73.9927194,2023,47,NA,New York Harbor,"Norton Point, Gravesend Bay",8517811,40.59,-73.9983,Subordinate,0.8590556245340882
FALSE,"Coney Island Creek, Calvert Vaux Park",Coney Island Creek,Brooklyn,Gravesend,40.5844306,-73.990388,2020,47,NA,New York Harbor,"Norton Point, Gravesend Bay",8517811,40.59,-73.9983,Subordinate,0.9109866439200854
TRUE,"Coney Island Creek, Kaiser Park",Coney Island Creek,Brooklyn,Gravesend,40.5810247,-73.997941,2022,47,Interstate Environmental Commission,New York Harbor,"Norton Point, Gravesend Bay",8517811,40.59,-73.9983,Subordinate,0.9984681632140486
FALSE,"Coney Island Creek, Shell Road (head of creek)",Coney Island Creek,Brooklyn,Gravesend,40.5825464,-73.974837,2019,47,NA,New York Harbor,Coney Island,8517741,40.57,-73.9833,Subordinate,1.5675379151355384
FALSE,"Coney Island Creek, West 21st Street",Coney Island Creek,Brooklyn,Coney Island,40.5791505,-73.98747,2019,47,NA,New York Harbor,Coney Island,8517741,40.57,-73.9833,Subordinate,1.0767197885118487
FALSE,"East River, Anable Basin",East River,Queens,Hunters Point,40.748051,-73.954628,2021,26,Billion Oyster Project's Williamsburg Field Station,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,1.075356472899843
TRUE,"East River, Brooklyn Bridge Beach (Manhattan)",East River,Manhattan,Seaport,40.706887,-74.001142,2022,1,Billion Oyster Project's Williamsburg Field Station,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.6535564740940517
TRUE,"East River, Bushwick Inlet",East River,Brooklyn,Greenpoint,40.7252056,-73.959234,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,1.6581326220718189
TRUE,"East River, Bushwick Inlet Park Beach",East River,Brooklyn,Williamsburg,40.723181,-73.962509,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,1.3667412234739014
TRUE,"East River, Dumbo Cove",East River,Brooklyn,Dumbo,40.7044059,-73.990526,2022,33,St. Francis College,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.39668113527687376
TRUE,"East River, Gantry State Park",East River,Queens,Hunters Point,40.743849,-73.960111,2022,26,Billion Oyster Project's Williamsburg Field Station,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,0.44843711788865326
TRUE,"East River, Grand Ferry Park",East River,Brooklyn,Williamsburg,40.7168567,-73.967177,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,0.5811581359529823
FALSE,"East River, Hallets Cove",East River,Queens,Astoria,40.769516,-73.935593,2022,26,Billion Oyster Project's Williamsburg Field Station,East River,"Horns Hook, East 90th Street",8518668,40.7767,-73.9417,Harmonic,0.9500434422085215
FALSE,"East River, Hammond Cove (HC)",East River,Bronx,Throgs Neck,40.81012,-73.80232,2021,13,SUNY Maritime Marine Environmental Science lab,"Long Island Sound, north side","Throgs Neck, Fort Schuyler",8518526,40.805,-73.795,Harmonic,0.8388575425160645
TRUE,"East River, Hermon A. MacNeil Park",East River,Queens,College Point,40.793278,-73.848917,2022,19,NA,East River,"College Point, Flushing Bay",8517276,40.7833,-73.8567,Subordinate,1.2885413401855743
TRUE,"East River, India Street",East River,Brooklyn,Greenpoint,40.73157,-73.96176,2023,33,NA,East River,"Hunters Point, Newtown Creek",8517673,40.74,-73.9617,Subordinate,0.9373868633814222
TRUE,"East River, Marsha P Johnson State Park",East River,Brooklyn,Williamsburg,40.72191,-73.96301,2023,33,NA,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,1.2197041398283697
TRUE,"East River, North 3rd Street",East River,Brooklyn,Williamsburg,40.718943,-73.965741,2022,33,Billion Oyster Project's Williamsburg Field Station,East River,Williamsburg Bridge,8518699,40.7117,-73.9683,Harmonic,0.8337630550806917
FALSE,"East River, Pier 1 (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.700789,-73.996922,2013,33,NA,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.32281460908145665
TRUE,"East River, Pier 2 Kayak Dock (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.699967,-73.99807,2022,33,St. Francis College,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.4520282495211636
TRUE,"East River, Pier 4 Beach (Brooklyn Bridge Park)",East River,Brooklyn,Brooklyn Heights,40.6968031,-73.99888,2022,33,St. Francis College,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.7930192558317518
TRUE,"East River, Pier 35 (+POOL), Mid-Pier",East River,Manhattan,Lower East Side,40.709865,-73.988629,2023,1,Billion Oyster Project's Williamsburg Field Station,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.9062504368200164
TRUE,"East River, Pier 35 (+POOL), End-Pier",East River,Manhattan,Lower East Side,40.709208,-73.988505,2023,1,NA,East River,Brooklyn Bridge,8517847,40.7033,-73.995,Harmonic,0.8551641700308042
